Well,Temperature,Value
A18,73,941.9090909
A18,74,940.3506494
A18,75,938.6363636
A18,76,931.2575758
A18,77,937.5606061
A18,78,933.030303
A18,79,931.4025974
A18,80,930.5064935
A18,81,931.469697
A18,82,930.0606061
A18,83,927.8181818
A18,84,928.3181818
A18,85,926.2337662
A18,86,925.6969697
A18,87,922.1948052
A18,88,920.5151515
A18,89,917.2987013
A18,90,917.7727273
A18,91,916.3116883
A18,92,917.8484848
A18,93,913.0757576
A18,94,914.7012987
A18,95,912.5454545
A19,26,1049.194805
A19,27,1053.757576
A19,28,1053.207792
A19,29,1052.606061
A19,30,1049.181818
A19,31,1048.833333
A19,32,1048.597403
A19,33,1044.045455
A19,34,1043.69697
A19,35,1042.909091
A19,36,1042.506494
A19,37,1038.761364
A19,38,1040.530303
A19,39,1037.714286
A19,40,1035.318182
A19,41,1034.212121
